DyadID,ParticipantID,TrialNum,ROI,Coh_PRE,Coh_POST
2,1,13,Central,0.544153,0.574025
2,1,13,Parietal,0.334442,0.409876
2,1,13,Left,0.536810,0.610848
2,1,13,Right,0.281800,0.319486
2,1,13,FrontoParietal,0.355168,0.410350
2,1,14,Frontal,0.401755,0.423861
2,1,14,Central,0.471011,0.458908
2,1,14,Parietal,0.306839,0.365161
2,1,14,Left,0.512952,0.497771
2,1,14,Right,0.280333,0.372595
2,1,14,FrontoParietal,0.348704,0.357859
2,1,15,Frontal,0.378738,0.386224
2,1,15,Central,0.401092,0.523193
2,1,15,Parietal,0.310608,0.358095
2,1,15,Left,0.523582,0.560496
2,1,15,Right,0.249186,0.290411
2,1,15,FrontoParietal,0.322984,0.357956
2,1,16,Frontal,0.373209,0.410475
2,1,16,Central,0.468360,0.499453
2,1,16,Parietal,0.331873,0.369030
2,1,16,Left,0.550229,0.560493
2,1,16,Right,0.270544,0.311705
2,1,16,FrontoParietal,0.330849,0.369164
2,1,17,Frontal,0.382341,0.380387
2,1,17,Central,0.385438,0.423398
2,1,17,Parietal,0.297012,0.306808
2,1,17,Left,0.497318,0.467429
2,1,17,Right,0.262105,0.279892
2,1,17,FrontoParietal,0.318185,0.321934
2,1,18,Frontal,0.433424,0.428975
2,1,18,Central,0.440070,0.474305
2,1,18,Parietal,0.352118,0.336212
2,1,18,Left,0.510601,0.504272
2,1,18,Right,0.316247,0.335029
2,1,18,FrontoParietal,0.341554,0.349891
2,2,1,Frontal,0.225305,0.233752
2,2,1,Central,0.354801,0.306930
2,2,1,Parietal,0.203793,0.209254
2,2,1,Left,0.249655,0.251642
2,2,1,Right,0.245006,0.236754
2,2,1,FrontoParietal,0.205862,0.197049
2,2,2,Frontal,0.219105,0.213377
2,2,2,Central,0.304340,0.298876
2,2,2,Parietal,0.199701,0.194266
2,2,2,Left,0.252555,0.230740
2,2,2,Right,0.230231,0.217482
2,2,2,FrontoParietal,0.201548,0.186469
2,2,3,Frontal,0.231433,0.226834
2,2,3,Central,0.509920,0.404163
